turn, fish, shark
1111, 8478, 2518
1112, 8402, 2750
1113, 8279, 2961
1114, 8163, 2857
1115, 8100, 2928
1116, 7991, 3021
1117, 7836, 2951
1118, 7787, 2816
1119, 7785, 2955
1120, 7635, 2867
1121, 7528, 2973
1122, 7352, 2870
1123, 7211, 3059
1124, 6997, 2993
1125, 6862, 2914
1126, 6767, 2977
1127, 6616, 3168
1128, 6379, 3397
1129, 6119, 3279
1130, 5954, 3348
1131, 5751, 3445
1132, 5576, 3329
1133, 5489, 3129
1134, 5429, 3269
1135, 5337, 3170
1136, 5245, 3298
1137, 5193, 3193
1138, 5125, 3333
1139, 4997, 3212
1140, 4953, 3068
1141, 4880, 3062
1142, 4796, 3169
1143, 4663, 3356
1144, 4493, 3157
1145, 4434, 3197
1146, 4389, 3178
1147, 4341, 3055
1148, 4370, 2807
1149, 4422, 2903
1150, 4454, 2807
1151, 4501, 2841
1152, 4544, 2668
1153, 4593, 2718
1154, 4608, 2594
1155, 4642, 2449
1156, 4702, 2382
1157, 4799, 2481
1158, 4792, 2654
1159, 4827, 2517
1160, 4961, 2540
1161, 5121, 2520
1162, 5236, 2417
1163, 5478, 2251
1164, 5654, 2396
1165, 5803, 2324
1166, 6012, 2381
1167, 6168, 2297
1168, 6386, 2377
1169, 6532, 2304
1170, 6740, 2220
1171, 6847, 2249
1172, 6932, 2416
1173, 6892, 2587
1174, 6897, 2475
1175, 6974, 2524
1176, 7067, 2588
1177, 7138, 2523
1178, 7268, 2416
1179, 7319, 2629
1180, 7365, 2578
1181, 7478, 2677
1182, 7519, 2605
1183, 7543, 2729
1184, 7552, 2656
1185, 7653, 2625
1186, 7750, 2755
1187, 7743, 2991
1188, 7643, 3168
1189, 7557, 3065
1190, 7548, 3139
1191, 7468, 3236
1192, 7395, 3160
1193, 7373, 3031
1194, 7270, 3317
1195, 7090, 3258
1196, 6954, 3352
1197, 6795, 3252
1198, 6636, 3426
1199, 6455, 3341
1200, 6330, 3254
1201, 6229, 3346
1202, 6008, 3591
1203, 5786, 3824
1204, 5578, 3630
1205, 5466, 3674
1206, 5304, 3704
1207, 5166, 3584
1208, 5140, 3403
1209, 5005, 3655
1210, 4882, 3525
1211, 4820, 3555
1212, 4714, 3366
1213, 4616, 3514
1214, 4432, 3406
1215, 4371, 3304
1216, 4297, 3326
1217, 4220, 3488
1218, 4093, 3700
1219, 3940, 3437
1220, 3861, 3450
1221, 3805, 3471
1222, 3748, 3337
1223, 3794, 3089
1224, 3841, 3292
1225, 3847, 3186
1226, 3880, 3192
1227, 3870, 3068
1228, 3849, 3109
1229, 3791, 2979
1230, 3822, 2839
1231, 3836, 2834
1232, 3821, 2941
1233, 3774, 3097
1234, 3799, 2902
1235, 3847, 2918
1236, 3911, 2912
1237, 3977, 2792
1238, 4121, 2577
1239, 4252, 2709
1240, 4375, 2583
1241, 4533, 2621
1242, 4668, 2520
1243, 4769, 2535
1244, 4858, 2438
1245, 5034, 2349
1246, 5186, 2360
1247, 5306, 2490
1248, 5335, 2574
1249, 5444, 2416
